                                                结算单

账户：0019
日期：20190603
                                               资金状况                            币种：人民币
-----------------------------------------------------------------------------------------------
上次结算金：       12347404.42                                   交割手续费：              0.00
出 入 金：                0.00                                   期末结存：         12064594.21
平仓盈亏：             1100.00                                   保证金占用：        8038178.50
持仓盈亏：          -283490.00                                   可用资金：          4026415.71
手续费：                420.21                                   风险度：                66.63%

-----------------------------------------------------------------------------------------------

                                               持仓明细
-----------------------------------------------------------------------------------------------
|交易所  | 合约  | 开仓日期 |投/保|买/卖| 持仓量|  开仓价 |  结算价 |  盯市盈亏 |    保证金   |
-----------------------------------------------------------------------------------------------
|共: 5条   |        |        |       |       |          |      5|     |     1100.00|          |
-----------------------------------------------------------------------------------------------


如果下一交易日开市前不提出书面异议，贵方视为确认。  

结算部盖章

客户签字

