                                            结算单 Settlement Statement                                                

账户：0029
日期：20191212
                                                 资金状况 Account Summary                                  币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金 Balance b/f：         6410519.62                  交割手续费 Delivery Fee：                0.00
出入金 Deposit/Withdraw：                0.00                  期末结存 Balance c/f：             6387871.70
平仓盈亏 Realized P/L：              -4025.00                  保证金占用 Margin Occupied：       3092576.00
持仓盈亏  MTM P/L：                 -17200.00                  可用资金 Fund Avail.：             3295295.70
手续费 Commission：                   1422.92                  风险度 Risk Degree：                   48.41%


                                               持仓明细 Positions Detail
------------------------------------------------------------------------------------------------------------------------------
|  交易所   |         合约    |  开仓日期| 投/保| 买/卖|   持仓量|    开仓价   |        结算价   |   盯市盈亏  |     保证金  |
| Exchange  |     Instrument  | Open Date|   S/H|   B/S| Position|   Open Price| Settlement Price|     MTM P/L |      Margin |
------------------------------------------------------------------------------------------------------------------------------
|     上期所|           al2004|  20191126|  投机|  买  |        1|    13765.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191128|  投机|    卖|        1|    13765.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13755.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13785.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2004|  20191128|  投机|  买  |        1|    13780.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191128|  投机|    卖|        1|    13765.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191126|  投机|  买  |        1|    13765.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191126|  投机|    卖|        1|    13750.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13755.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2004|  20191128|  投机|  买  |        1|    13775.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13755.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191128|  投机|    卖|        1|    13765.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2003|  20191126|  投机|    卖|        1|    13745.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191126|  投机|  买  |        1|    13760.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2004|  20191128|  投机|  买  |        1|    13780.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13735.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13755.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191128|  投机|    卖|        1|    13760.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2003|  20191126|  投机|    卖|        1|    13745.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191126|  投机|  买  |        1|    13760.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2004|  20191128|  投机|  买  |        1|    13780.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191128|  投机|    卖|        1|    13760.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2003|  20191126|  投机|    卖|        1|    13745.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191126|  投机|  买  |        1|    13760.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13755.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2004|  20191128|  投机|  买  |        1|    13780.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191118|  投机|    卖|        1|    13750.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191118|  投机|  买  |        1|    13765.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191126|  投机|    卖|        1|    13745.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191126|  投机|  买  |        1|    13760.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13755.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191128|  投机|    卖|        1|    13760.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2003|  20191118|  投机|    卖|        1|    13755.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191118|  投机|  买  |        1|    13775.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13755.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2004|  20191128|  投机|  买  |        1|    13775.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191126|  投机|    卖|        1|    13740.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191126|  投机|  买  |        1|    13760.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191128|  投机|    卖|        1|    13760.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2003|  20191118|  投机|    卖|        1|    13750.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191118|  投机|  买  |        1|    13780.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191126|  投机|    卖|        1|    13745.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191126|  投机|  买  |        1|    13760.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191113|  投机|    卖|        1|    13755.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191113|  投机|  买  |        1|    13780.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13710.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13735.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2004|  20191128|  投机|  买  |        1|    13775.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191114|  投机|    卖|        1|    13750.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2003|  20191128|  投机|    卖|        1|    13755.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191114|  投机|  买  |        1|    13775.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191126|  投机|    卖|        1|    13745.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191126|  投机|  买  |        1|    13760.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191118|  投机|    卖|        1|    13745.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191118|  投机|  买  |        1|    13770.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2004|  20191128|  投机|  买  |        1|    13775.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191126|  投机|    卖|        1|    13740.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191126|  投机|  买  |        1|    13760.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191128|  投机|    卖|        1|    13755.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2003|  20191114|  投机|    卖|        1|    13745.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191114|  投机|  买  |        1|    13770.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191118|  投机|    卖|        1|    13750.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191118|  投机|  买  |        1|    13770.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2004|  20191128|  投机|  买  |        1|    13770.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191126|  投机|    卖|        1|    13745.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191126|  投机|  买  |        1|    13760.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191128|  投机|    卖|        1|    13755.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2003|  20191114|  投机|    卖|        1|    13745.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191114|  投机|  买  |        1|    13770.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2004|  20191128|  投机|  买  |        1|    13770.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191126|  投机|    卖|        1|    13740.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191126|  投机|  买  |        1|    13760.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191118|  投机|    卖|        1|    13750.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191118|  投机|  买  |        1|    13775.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191128|  投机|    卖|        1|    13750.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2003|  20191114|  投机|    卖|        1|    13745.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191114|  投机|  买  |        1|    13770.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13720.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13740.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191126|  投机|    卖|        1|    13740.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191126|  投机|  买  |        1|    13755.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2004|  20191128|  投机|  买  |        1|    13765.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191114|  投机|    卖|        1|    13745.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2003|  20191128|  投机|    卖|        1|    13755.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191114|  投机|  买  |        1|    13775.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191118|  投机|    卖|        1|    13740.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191118|  投机|  买  |        1|    13765.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191126|  投机|    卖|        1|    13735.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191126|  投机|  买  |        1|    13750.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191114|  投机|    卖|        1|    13750.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191128|  投机|  买  |        1|    13775.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2004|  20191114|  投机|  买  |        1|    13775.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191128|  投机|    卖|        1|    13755.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2003|  20191118|  投机|    卖|        1|    13745.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191118|  投机|  买  |        1|    13770.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191126|  投机|    卖|        1|    13735.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191126|  投机|  买  |        1|    13755.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191114|  投机|    卖|        1|    13750.000|        13885.000|         0.00|      4859.75|
|     上期所|           ru2005|  20191205|  投机|    卖|        1|    13210.000|        13235.000|      -450.00|     11911.50|
|     上期所|           ru2005|  20191205|  投机|    卖|        3|    13210.000|        13235.000|     -1350.00|     35734.50|
|     上期所|           ru2005|  20191205|  投机|    卖|        1|    13210.000|        13235.000|      -450.00|     11911.50|
|     上期所|           al2004|  20191114|  投机|  买  |        1|    13775.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2004|  20191128|  投机|  买  |        1|    13770.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191128|  投机|    卖|        1|    13760.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2003|  20191126|  投机|    卖|        1|    13735.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191126|  投机|  买  |        1|    13755.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191118|  投机|    卖|        1|    13740.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191118|  投机|  买  |        1|    13765.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191114|  投机|    卖|        1|    13750.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191114|  投机|  买  |        1|    13775.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191115|  投机|    卖|        1|    13705.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191115|  投机|  买  |        1|    13730.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191118|  投机|    卖|        1|    13735.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191118|  投机|  买  |        1|    13755.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2004|  20191128|  投机|  买  |        1|    13780.000|        13870.000|       -50.00|      4854.50|
|     上期所|           al2003|  20191126|  投机|    卖|        1|    13740.000|        13885.000|         0.00|      4859.75|
|     上期所|           al2004|  20191126|  投机|  买  |        1|    13755.000|        13870.000|       -50.00|      4854.50|
