                                            申银万国期货                                            
                                                                    制表时间 Creation Date：20190916
----------------------------------------------------------------------------------------------------
                             交易结算单(盯市) Settlement Statement(MTM)                             
客户号 Client ID：  8001888888          客户名称 Client Name：申银万国智富投资有限公司
日期 Date：20190916


市场风险莫测，务请谨慎从事。
温馨提示
尊敬的客户：
您好。为保护您的账户安全以及账户实名制要求，我司在此提示：
1、请您在开户完成后第一时间更改初始交易密码和资金密码。平时妥善保管密码，不得将密码透露给他人。定期修改密码，增强密码强度，不得使用易被破解的简单数字作为交易密码和资金密码，强烈建议您通过增加密码长度（至少8位以上）和复杂性的方式，提高密码安全等级，比如以大小写字母、数字、符号等不规则组合排列的方式设置密码；
2、不得在公共场所或他人计算机上登录账号并交易；
3、账户应由本人使用，不得将账户转借、出租、交由他人操作；
4、如您开户时登记的个人信息发生变更后（包括但不限于住址、手机、座机等），请主动联系我司客户经理进行更新；
5、因期货交易高风险性及期货市场信息可能对投资者尤其是高龄投资者产生不利影响，如您的年龄大于等于70岁，请在进行期货交易前确认您具备针对期货交易风险的经济承受能力、风险控制能力、身体和心理承受能力。

                   资金状况  币种：人民币  Account Summary  Currency：CNY 
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f：                 15877380.71  基础保证金 Initial Margin：                 0.00
出 入 金 Deposit/Withdrawal：                 0.00  期末结存 Balance c/f：               16074088.78
平仓盈亏 Realized P/L：                    3975.00  质 押 金 Pledge Amount：                    0.00
持仓盯市盈亏 MTM P/L：                   200160.00  客户权益 Client Equity：：           16074088.78
期权执行盈亏 Exercise P/L：                   0.00  货币质押保证金占用 FX Pledge Occ.：         0.00
手 续 费 Commission：                      7426.93  保证金占用 Margin Occupied：          5920111.00
行权手续费 Exercise Fee：                     0.00  交割保证金 Delivery Margin：                0.00
交割手续费 Delivery Fee：                     0.00  多头期权市值 Market value(long)：        7905.00
货币质入 New FX Pledge：                      0.00  空头期权市值 Market value(short)：      30395.00
货币质出 FX Redemption：                      0.00  市值权益 Market value(equity)：      16051598.78
质押变化金额 Chg in Pledge Amt：              0.00  可用资金 Fund Avail.：               10153977.78
权利金收入 Premium received：             11815.00  风 险 度 Risk Degree：                    36.83%
权利金支出 Premium paid：                 11815.00  应追加资金 Margin Call：                    0.00
货币质押变化金额 Chg in FX Pledge:            0.00

                                                              成交记录 Transaction Record 
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |
|20190916|大商所  |豆油              |     y2005      |   卖|投机        |  6090.000|     1|    60900.00|  平              |      2.54|      820.00|                 0.00|10499757    |
|20190916|大商所  |豆油              |     y2005      |   卖|投机        |  6090.000|     4|   243600.00|  平              |     10.15|     3280.00|                 0.00|10500428    |
|20190916|大商所  |豆油              |     y2005      |买   |投机        |  6090.000|     2|   121800.00|  平              |      5.07|    -1640.00|                 0.00|10500435    |
|20190916|大商所  |豆油              |     y2005      |买   |投机        |  6090.000|     3|   182700.00|  平              |      7.61|    -2460.00|                 0.00|10504519    |
|20190916|大商所  |豆油              |     y2005      |   卖|投机        |  6090.000|     1|    60900.00|  平              |      2.54|      820.00|                 0.00|10504523    |
|20190916|大商所  |豆油              |     y2005      |   卖|投机        |  6090.000|     1|    60900.00|  平              |      2.54|      820.00|                 0.00|10504524    |
|20190916|大商所  |豆油              |     y2005      |   卖|投机        |  6090.000|     2|   121800.00|  平              |      5.07|     1640.00|                 0.00|10504525    |
|20190916|大商所  |豆油              |     y2005      |   卖|投机        |  6090.000|     1|    60900.00|  平              |      2.54|      820.00|                 0.00|10504526    |
|20190916|大商所  |豆油              |     y2005      |买   |投机        |  6090.000|     4|   243600.00|  平              |     10.15|    -3280.00|                 0.00|10504532    |
|20190916|大商所  |豆油              |     y2005      |买   |投机        |  6090.000|     1|    60900.00|  平              |      2.54|     -820.00|                 0.00|10504555    |
|20190916|大商所  |豆油              |     y2005      |   卖|投机        |  6090.000|     3|   182700.00|  平              |      7.61|     2460.00|                 0.00|10504556    |
|20190916|大商所  |豆油              |     y2005      |   卖|投机        |  6090.000|     2|   121800.00|  平              |      5.07|     1640.00|                 0.00|10504558    |
|20190916|大商所  |豆油              |     y2005      |买   |投机        |  6090.000|     5|   304500.00|  平              |     12.68|    -4100.00|                 0.00|10504610    |
|20190916|大商所  |豆油              |     y2005      |   卖|投机        |  6090.000|     1|    60900.00|  平              |      2.54|      820.00|                 0.00|10504655    |
|20190916|大商所  |豆油              |     y2005      |   卖|投机        |  6090.000|     4|   243600.00|  平              |     10.15|     3280.00|                 0.00|10504656    |
|20190916|大商所  |豆油              |     y2005      |   卖|投机        |  6092.000|     2|   121840.00|  平              |      5.07|     1680.00|                 0.00|10505019    |
|20190916|大商所  |豆油              |     y2005      |买   |投机        |  6090.000|     5|   304500.00|  平              |     12.68|    -4100.00|                 0.00|10505197    |
|20190916|大商所  |豆油              |     y2005      |   卖|投机        |  6090.000|     2|   121800.00|  平              |      5.07|     1640.00|                 0.00|10505201    |
|20190916|大商所  |豆油              |     y2005      |   卖|投机        |  6090.000|     3|   182700.00|  平              |      7.61|     2460.00|                 0.00|10505202    |
|20190916|大商所  |豆油              |     y2005      |买   |投机        |  6090.000|     1|    60900.00|  平              |      2.54|     -820.00|                 0.00|10505391    |
|20190916|大商所  |豆油              |     y2005      |买   |投机        |  6090.000|     2|   121800.00|  平              |      5.07|    -1640.00|                 0.00|10505670    |
|20190916|大商所  |豆油              |     y2005      |买   |投机        |  6090.000|     2|   121800.00|  平              |      5.07|    -1640.00|                 0.00|10505671    |
|20190916|大商所  |豆油              |     y2005      |   卖|投机        |  6088.000|     5|   304400.00|  平              |     12.68|     4000.00|                 0.00|10517267    |
|20190916|大商所  |豆油              |     y2005      |买   |投机        |  6088.000|     2|   121760.00|  平              |      5.07|    -1600.00|                 0.00|10517273    |
|20190916|大商所  |豆油              |     y2005      |买   |投机        |  6088.000|     1|    60880.00|  平              |      2.54|     -800.00|                 0.00|10517286    |
|20190916|大商所  |豆油              |     y2005      |买   |投机        |  6088.000|     2|   121760.00|  平              |      5.07|    -1600.00|                 0.00|10517425    |
|20190916|大商所  |豆油              |     y2005      |   卖|投机        |  6088.000|     5|   304400.00|  平              |     12.68|     4000.00|                 0.00|10517432    |
|20190916|大商所  |豆油              |     y2005      |买   |投机        |  6088.000|     2|   121760.00|  平              |      5.07|    -1600.00|                 0.00|10517433    |
|20190916|大商所  |豆油              |     y2005      |   卖|投机        |  6090.000|     5|   304500.00|  平              |     12.68|     4100.00|                 0.00|10517525    |
|20190916|大商所  |豆油              |     y2005      |买   |投机        |  6090.000|     1|    60900.00|  平              |      2.54|     -820.00|                 0.00|10517526    |
|20190916|大商所  |豆油              |     y2005      |买   |投机        |  6090.000|     3|   182700.00|  平              |      7.61|    -2460.00|                 0.00|10517527    |
|20190916|大商所  |豆油              |     y2005      |买   |投机        |  6090.000|     1|    60900.00|  平              |      2.54|     -820.00|                 0.00|10517528    |
|20190916|大商所  |豆油              |     y2005      |买   |投机        |  6088.000|     1|    60880.00|  平              |      2.54|     -800.00|                 0.00|10517581    |
|20190916|大商所  |豆油              |     y2005      |买   |投机        |  6088.000|     2|   121760.00|  平              |      5.07|    -1600.00|                 0.00|10517611    |
|20190916|大商所  |豆油              |     y2005      |   卖|投机        |  6088.000|     2|   121760.00|  平              |      5.07|     1600.00|                 0.00|10517613    |
|20190916|大商所  |豆油              |     y2005      |   卖|投机        |  6088.000|     3|   182640.00|  平              |      7.61|     2400.00|                 0.00|10517624    |
|20190916|大商所  |豆油              |     y2005      |买   |投机        |  6088.000|     1|    60880.00|  平              |      2.54|     -800.00|                 0.00|10517776    |
|20190916|大商所  |豆油              |     y2005      |买   |投机        |  6088.000|     1|    60880.00|  平              |      2.54|     -800.00|                 0.00|10517814    |
|20190916|大商所  |豆油              |     y2005      |买   |投机        |  6088.000|     2|   121760.00|  平              |      5.07|    -1600.00|                 0.00|10517816    |
|20190916|大商所  |豆油              |     y2005      |买   |投机        |  6088.000|     1|    60880.00|  平              |      2.54|     -800.00|                 0.00|10517818    |
|20190916|大商所  |豆油              |     y2005      |   卖|投机        |  6088.000|     5|   304400.00|  平              |     12.68|     4000.00|                 0.00|10517839    |
|20190916|大商所  |豆油              |     y2005      |买   |投机        |  6088.000|     5|   304400.00|  平              |     12.68|    -4000.00|                 0.00|10518106    |
|20190916|大商所  |豆油              |     y2005      |   卖|投机        |  6088.000|     3|   182640.00|  平              |      7.61|     2400.00|                 0.00|10518256    |
|20190916|大商所  |豆油              |     y2005      |   卖|投机        |  6088.000|     2|   121760.00|  平              |      5.07|     1600.00|                 0.00|10518450    |
|20190916|大商所  |豆油              |     y2005      |买   |投机        |  6088.000|     5|   304400.00|  平              |     12.68|    -4000.00|                 0.00|10518604    |
|20190916|大商所  |豆油              |     y2005      |   卖|投机        |  6088.000|     5|   304400.00|  平              |     12.68|     4000.00|                 0.00|10518645    |
|20190916|大商所  |豆油              |     y2005      |买   |投机        |  6088.000|     5|   304400.00|  平              |     12.68|    -4000.00|                 0.00|10518956    |
|20190916|大商所  |豆油              |     y2005      |   卖|投机        |  6088.000|     1|    60880.00|  平              |      2.54|      800.00|                 0.00|10519135    |
|20190916|大商所  |豆油              |     y2005      |   卖|投机        |  6088.000|     1|    60880.00|  平              |      2.54|      800.00|                 0.00|10519142    |
|20190916|大商所  |豆油              |     y2005      |   卖|投机        |  6088.000|     1|    60880.00|  平              |      2.54|      800.00|                 0.00|10519376    |
|20190916|大商所  |豆油              |     y2005      |   卖|投机        |  6088.000|     1|    60880.00|  平              |      2.54|      800.00|                 0.00|10519389    |
|20190916|大商所  |豆油              |     y2005      |   卖|投机        |  6088.000|     1|    60880.00|  平              |      2.54|      800.00|                 0.00|10519532    |
|20190916|大商所  |豆油              |     y2005      |买   |投机        |  6088.000|     3|   182640.00|  平              |      7.61|    -2400.00|                 0.00|10519533    |
|20190916|大商所  |豆油              |     y2005      |买   |投机        |  6088.000|     2|   121760.00|  平              |      5.07|    -1600.00|                 0.00|10519554    |
|20190916|大商所  |豆油              |     y2005      |   卖|投机        |  6088.000|     3|   182640.00|  平              |      7.61|     2400.00|                 0.00|10519559    |
